SNIP Year,Value
1999,0.528
1999,1.703
1999,0.522
1999,0.658
1999,0.936
1999,0.549
1999,1.014
1999,0.885
1999,1.567
1999,0.504
1999,0.818
1999,3.562
1999,2.65
1999,5.851
1999,0.547
1999,1.391
1999,0.218
1999,0.523
1999,0.252
1999,0.706
1999,1.23
1999,2.255
1999,1.228
1999,4.975
1999,0.553
1999,1.883
1999,1.73
1999,1.327
1999,0.582
1999,2.361
1999,1.426
1999,1.358
1999,3.052
1999,2.511
1999,1.786
1999,0.835
1999,2.715
1999,4.164
1999,0.11
1999,0.702
1999,0.084
1999,1.92
1999,0.693
1999,0.442
1999,0.172
1999,0.412
1999,0.152
1999,1.025
1999,0.155
1999,0.812
1999,0.428
1999,1.097
1999,0.478
1999,0.892
1999,0.105
1999,0
1999,0.322
1999,0.353
1999,0.149
1999,0.136
1999,0.147
1999,0.187
1999,0.382
1999,0.263
1999,0.247
1999,0.067
1999,0.322
1999,0.173
1999,0.398
1999,0.469
1999,0.471
1999,0.296
1999,1.603
1999,1.439
1999,0.652
1999,1.037
1999,0.456
1999,1.032
1999,0.918
1999,0.4
1999,0.125
1999,0.095
1999,0.361
1999,0.39
1999,0.363
1999,0.763
1999,0.223
1999,0.401
1999,0.602
1999,0.594
1999,0.089
1999,0.385
1999,0.408
1999,0.345
1999,0.37
1999,0.947
1999,2.194
1999,2.909
1999,0.76
1999,0.276
1999,0.268
1999,0.311
1999,1.133
1999,0.081
1999,0.378
1999,0.238
1999,0.079
1999,0.576
1999,0.106
1999,0.522
1999,0.713
1999,0.542
1999,0.418
1999,0.826
1999,0.883
1999,0.114
1999,0.999
1999,0.352
1999,0.685
1999,0.463
1999,0.233
1999,0.565
1999,0
1999,0.764
1999,0.103
1999,1.085
1999,0.246
1999,0.979
1999,1.057
1999,1.113
1999,0.521
1999,0.706
1999,0.236
1999,0.385
1999,0.48
1999,0.287
1999,0.312
1999,0.252
1999,0.266
1999,0.478
1999,0.764
1999,0.138
1999,0.681
1999,0.358
1999,0.458
1999,1.187
1999,0.728
1999,0.844
1999,0.214
1999,0.52
1999,1.321
1999,0.263
1999,0.971
1999,0.876
1999,0.139
1999,0.418
1999,0.222
1999,0.422
1999,0.908
1999,0.575
1999,0.712
1999,0.519
1999,0.228
1999,0.072
1999,0.769
1999,0
1999,0.182
1999,0.107
1999,0.471
1999,1.1
1999,0.828
1999,1.498
1999,0.557
1999,0.533
1999,1.069
1999,0.36
1999,0.892
1999,0.265
1999,3.886
1999,0.785
1999,0.527
1999,1.367
1999,0.427
1999,0.463
1999,1.108
1999,0.725
1999,0.663
1999,2.32
1999,0.694
1999,0.249
1999,0.082
1999,2.957
1999,0.792
1999,0.914
1999,1.041
1999,3.797
1999,1.908
1999,1.815
1999,0.653
1999,2.16
1999,0.497
1999,1.847
1999,3.63
1999,0.934
1999,12.257
1999,1.022
1999,2.589
1999,3.091
1999,0.487
1999,0.466
1999,2.253
1999,1.176
1999,0.106
1999,2.009
1999,7.06
1999,0.753
1999,2.691
1999,0.165
1999,3.938
1999,0.693
1999,1.318
1999,5.427
1999,1.014
1999,3.311
1999,1.423
1999,0.565
1999,0.467
1999,2.781
1999,2.945
1999,7.699
1999,3.808
1999,1.804
1999,3.106
1999,1.496
1999,3.156
1999,0.315
1999,7.276
1999,2.351
1999,0.832
1999,2.101
1999,0.522
1999,0.466
1999,0.209
1999,2.054
1999,9.528
1999,0.266
1999,0.873
1999,0.22
1999,0.792
1999,0.673
1999,0.648
1999,0.96
1999,0.423
1999,1.009
1999,0.689
1999,0.803
1999,0.466
1999,0.306
1999,0.353
1999,0
1999,1.389
1999,0.406
1999,0.837
1999,0.616
1999,0.676
1999,0.736
1999,0.555
1999,0.433
1999,2.161
1999,0.292
1999,0.948
1999,1.295
1999,0.966
1999,1.141
1999,0.459
1999,0.343
1999,0.104
1999,0.866
1999,0.557
1999,0.46
1999,1.46
1999,0
1999,1.265
1999,0.221
1999,0.999
1999,1.24
1999,0.895
1999,0.732
1999,1.265
1999,0.38
1999,0.209
1999,0.461
1999,0.592
1999,0.668
1999,1.494
1999,1.082
1999,1.52
1999,1.183
1999,1.778
1999,2.038
1999,1.172
1999,0.946
1999,1.013
1999,0.173
1999,0.736
1999,0.36
1999,0.059
1999,0.245
1999,0.142
1999,0.217
1999,0.262
1999,0.365
1999,0.302
1999,0.425
1999,0.145
1999,1.038
1999,0.757
1999,0.872
1999,0.487
1999,0.112
1999,0.951
1999,2.212
1999,0.816
1999,0.312
1999,0.794
1999,0.141
1999,0.946
1999,1.127
1999,0.421
1999,0.816
1999,0.306
1999,0.411
1999,0.002
1999,0.695
1999,1.292
1999,0.932
1999,1.018
1999,0.194
1999,0.607
1999,0.708
1999,0.746
1999,0.945
1999,0.221
1999,0.912
1999,0.837
1999,1.228
1999,1.403
1999,0.619
1999,0.754
1999,0.727
1999,0.907
1999,0.526
1999,0.417
1999,0.137
1999,0.3
1999,3.122
1999,3.244
1999,1.975
1999,0.635
1999,0.658
1999,1.994
1999,2.371
1999,0.115
1999,1.168
1999,0.378
1999,0.585
1999,1.661
1999,1.164
1999,0.846
1999,0.654
1999,1.929
1999,0.635
1999,1.35
1999,0.968
1999,0.332
1999,0.799
1999,0.969
1999,1.038
1999,0.745
1999,0.659
1999,0.896
1999,0.811
1999,1.385
1999,2.132
1999,1.168
1999,0.767
1999,0.283
1999,1.537
1999,0.865
1999,0.368
1999,1.595
1999,0.941
1999,0.806
1999,0.125
1999,0.401
1999,2.658
1999,0.853
1999,1.179
1999,1.506
1999,1.124
1999,2.083
1999,0.619
1999,0.303
1999,0.412
1999,1.11
1999,1.348
1999,1.684
1999,0.549
1999,1.879
1999,0.766
1999,1.673
1999,0.371
1999,3.028
1999,0.917
1999,1.71
1999,0.1
1999,1.351
1999,0.484
1999,1.755
1999,0.632
1999,0.922
1999,1.142
1999,0.81
1999,1.137
1999,0.48
1999,1.14
1999,1.267
1999,1.168
1999,0.635
