title,link,snip,sjr,impact factor,5 year impact factor
Abstract Bulletin of Paper Science and Technology,http://www.journals.elsevier.com/abstract-bulletin-of-paper-science-and-technology/,0.0,0.0,0.0,0.0
Academic Pediatrics,http://www.journals.elsevier.com/academic-pediatrics/,1.009,1.004,2.007,2.644
Academic Radiology,http://www.journals.elsevier.com/academic-radiology/,0.906,0.832,1.751,1.898
Accident Analysis & Prevention,http://www.journals.elsevier.com/accident-analysis-and-prevention/,1.894,1.193,2.070,2.699
Accident and Emergency Nursing,/journals/accident-and-emergency-nursing/0965-2302,0.0,0.0,0.0,0.0
Accounting Forum,http://www.journals.elsevier.com/accounting-forum/,0.0,0.0,0.0,0.0
"Accounting, Organizations and Society",http://www.journals.elsevier.com/accounting-organizations-and-society/,2.058,2.220,1.672,3.588
Achievements in the Life Sciences,http://www.journals.elsevier.com/achievements-in-the-life-sciences/,0.0,0.0,0.0,0.0
Acta Anaesthesiologica Taiwanica,http://www.journals.elsevier.com/acta-anaesthesiologica-taiwanica/,0.0,0.0,0.0,0.0
Acta Astronautica,http://www.journals.elsevier.com/acta-astronautica/,1.706,0.903,1.122,1.117
Acta Automatica Sinica,http://www.journals.elsevier.com/acta-automatica-sinica/,0.0,0.0,0.0,0.0
Acta Biomaterialia,http://www.journals.elsevier.com/acta-biomaterialia/,2.186,1.643,6.025,6.589
Acta Colombiana de Cuidado Intensivo,http://www.journals.elsevier.com/acta-colombiana-de-cuidado-intensivo/,0.0,0.0,0.0,0.0
Acta de Investigación Psicológica,http://www.journals.elsevier.com/acta-de-investigacion-psicologica/,0.0,0.0,0.0,0.0
Acta Ecologica Sinica,http://www.journals.elsevier.com/acta-ecologica-sinica/,0.0,0.0,0.0,0.0
Acta Genetica Sinica,/journals/acta-genetica-sinica/0379-4172,0.0,0.0,0.0,0.0
Acta Haematologica Polonica,http://www.journals.elsevier.com/acta-haematologica-polonica/,0.0,0.0,0.0,0.0
Acta Histochemica,http://www.journals.elsevier.com/acta-histochemica/,0.811,0.604,1.714,1.721
Acta Materialia,http://www.journals.elsevier.com/acta-materialia/,3.333,3.866,4.465,4.869
Acta Mathematica Scientia,http://www.journals.elsevier.com/acta-mathematica-scientia/,0.760,0.589,0.742,0.633
Acta Mechanica Solida Sinica,http://www.journals.elsevier.com/acta-mechanica-solida-sinica/,0.939,0.546,0.775,1.171
Acta Metallurgica Sinica (English Letters),/journals/acta-metallurgica-sinica-english-letters/1006-7191,0.0,0.0,0.0,0.0
Acta Oecologica,http://www.journals.elsevier.com/acta-oecologica/,0.863,0.787,1.617,1.915
Acta Otorrinolaringologica (English Edition),http://www.journals.elsevier.com/acta-otorrinolaringologica-english-edition/,0.0,0.0,0.0,0.0
Acta Otorrinolaringologica Española,http://www.journals.elsevier.com/acta-otorrinolaringologica-espanola/,0.0,0.0,0.0,0.0
