DCP,Jname,RIP,SNIP
0,4OR,0,0
0,Abdominal Imaging,0,0
0,Advances in Adaptive Data Analysis,0,0
0,Advances in Complex Systems,0,0
0,Advances in Computers,0,0
0,Advances in Parallel Computing,0,0
0,AI Magazine,0,0
0,Algorithms,0,0
0,Algorithms for Molecular Biology,0,0
0,Annals of GIS,0,0
0,Annual Reviews in Control,0,0
0,Applied Categorical Structures,0,0
0,Applied Mathematics and Computation,0,0
0,Artificial Intelligence,0,0
0,Australian Computer Journal,0,0
0,Automatic Control and Computer Sciences,0,0
0,Automatisierungstechnik,0,0
0,BioData Mining,0,0
0,Brain Connectivity,0,0
0,Briefings in Bioinformatics,0,0
0,Bulletin of Symbolic Logic,0,0
0,Cartographica,0,0
0,CMG Transactions,0,0
0,Cognitive Computation,0,0
0,Cognitive Processing,0,0
0,Cognitive Science,0,0
0,Computational Intelligence,0,0
0,Computer Applications in the Biosciences,0,0
0,Computer Networks and ISDN Systems,0,0
0,Computer Physics Communications,0,0
0,Computer Science - Research and Development,0,0
0,Computer Science Review,0,0
0,Computers and Artificial Intelligence,0,0
0,Computers and Security,0,0
0,Computers and the Humanities,0,0
0,Computing and Informatics,0,0
0,Control and Cybernetics,0,0
0,Control and Intelligent Systems,0,0
0,Cryptography and Communications,0,0
0,Cryptologia,0,0
0,Data Science Journal,0,0
0,Digital Technical Journal,0,0
0,Discrete Mathematics,0,0
0,Distributed Systems Engineering,0,0
0,D-Lib Magazine,0,0
0,Earth Science Informatics,0,0
0,Ecological Informatics,0,0
0,EEE,0,0
0,Elektrotechnik und Informationstechnik,0,0
0,Entropy,0,0
0,European Journal of Operational Research,0,0
0,European Transactions on Telecommunications,0,0
0,Evolutionary Intelligence,0,0
0,Experimental Mathematics,0,0
0,Expert Systems,0,0
0,Finance and Stochastics,0,0
0,First Monday,0,0
0,Formalized Mathematics,0,0
0,Game Studies,0,0
0,Games,0,0
0,Grammars,0,0
0,Graphical Models and Image Processing,0,0
0,Health Informatics Journal,0,0
0,Human Factors,0,0
0,Hydrology and Earth System Sciences,0,0
0,IEEE Communications Magazine,0,0
0,IEEE Concurrency,0,0
0,IEEE Expert,0,0
0,IEEE Systems Journal,0,0
0,IEEE Transactions on Industrial Electronics,0,0
0,IEEE Transactions on Network and Service Management,0,0
0,IEEE Transactions on Reliability,0,0
0,IEEE Transactions on Speech and Audio Processing,0,0
0,IET Software,0,0
0,In Silico Biology,0,0
0,Industrial Management and Data Systems,0,0
0,Information,0,0
0,Information and Control,0,0
0,Information and Control,0,0
0,Information Economics and Policy,0,0
0,Information Retrieval,0,0
0,Information Storage and Retrieval,0,0
0,Information Systems,0,0
0,Informationstechnik,0,0
0,Intelligence,0,0
0,Interactive Learning Environments,0,0
0,International Journal of Computational Engineering Science,0,0
0,International Journal of Computational Intelligence and Applications,0,0
0,International Journal of Geographical Information Systems,0,0
0,International Journal of High Speed Computing,0,0
0,International Journal of Information Technology and Decision Making,0,0
0,International Journal of Software Engineering and Knowledge Engineering,0,0
0,Internet Research,0,0
0,Journal of Applied Non-Classical Logics,0,0
0,Journal of Chemical Information and Computer Sciences,0,0
0,Journal of Chemical Information and Modeling,0,0
0,Journal of Communications and Networks,0,0
0,Journal of Computational Chemistry,0,0
0,Journal of Computational Neuroscience,0,0
0,Journal of Computer-Aided Molecular Design,0,0
0,Journal of Decision Systems,0,0
0,Journal of Geographical Systems,0,0
0,Journal of Multimedia,0,0
0,Journal of Quantitative Linguistics,0,0
0,Journal of Research and Practice in Information Technology,0,0
0,Journal of Social Structure,0,0
0,Journal of Software: Evolution and Process,0,0
0,Journal of Systems Integration,0,0
0,Journal of WSCG,0,0
0,Kybernetes,0,0
0,Language Resources and Evaluation,0,0
0,Library Hi Tech,0,0
0,Library Trends,0,0
0,Logic Journal of the IGPL,0,0
0,Logistics Research,0,0
0,Mathematical Systems Theory,0,0
0,Mathematics in Computer Science,0,0
0,Medical Image Analysis,0,0
0,Memetic Computing,0,0
0,Memoirs of the American Mathematical Society,0,0
0,Micromachines,0,0
0,Microprocessing and Microprogramming,0,0
0,MIS Quarterly Executive,0,0
0,Natural Computing Series,0,0
0,Network Security,0,0
0,NeuroImage,0,0
0,Neuroinformatics,0,0
0,Notre Dame Journal of Formal Logic,0,0
0,Nucleic Acids Research,0,0
0,Numerical Algorithms,0,0
0,Online Information Review,0,0
0,Operational Research,0,0
0,Optimization Letters,0,0
0,Optimization Methods and Software,0,0
0,Order,0,0
0,Peer-to-Peer Networking and Applications,0,0
0,Performance Evaluation,0,0
0,Periodica Mathematica Hungarica,0,0
0,PLoS Computational Biology,0,0
0,Proceedings of the IEEE,0,0
0,Production Engineering,0,0
