Jname,ourSNIP,SNIP,Self Edges,Non-Self Edges,NLIQ
Artificial Intelligence,1.99047619,5.141,2060,126,16.34920635
Artificial Intelligence in Medicine,0.707346905,1.419,440,427,1.030444965
Automatica,0.373679953,3.095,4717,237,19.90295359
Computer Communications,0.42907911,1.76,892,1128,0.790780142
Computer Methods and Programs in Biomedicine_,0.379046231,1.435,207,265,0.781132075
Computer Networks,0.749387158,2.557,1010,454,2.224669604
Computer Vision and Image Understanding,1.672948579,4.126,883,347,2.544668588
Computers and Education,0.704265888,2.49,3415,874,3.907322654
Computers and Geosciences,0.188574973,1.623,453,168,2.696428571
Computers and Graphics,0.442495274,1.311,103,76,1.355263158
Computers and Mathematics with Applications,0.329331758,1.186,1556,963,1.615784008
Computers in Human Behavior,0.650123719,1.754,1545,1009,1.531219029
Environmental Modelling and Software,0.367386629,2.245,927,116,7.99137931
Expert Systems with Applications,0.588827995,1.884,7947,4289,1.852879459
Future Generation Computer Systems,1.070518166,3.017,1585,322,4.922360248
Information and Management,1.039492754,2.48,1557,32,48.65625
Information Sciences,0.945410628,2.637,7462,2073,3.599614086
Journal of Approximation Theory,0.162687561,1.232,300,17,17.64705882
Mathematics and Computers in Simulation,0.173084886,0.795,309,213,1.450704225
Neural Networks,0.67837426,1.509,1354,326,4.153374233
Neurocomputing,0.634644582,1.345,1351,2559,0.527940602
Parallel Computing,0.712270531,1.814,290,125,2.32
Pattern Recognition,1.17715942,3.154,2044,1454,1.405777166
Performance Evaluation,0.713109731,2.476,500,157,3.184713376
Robotics and Autonomous Systems,0.739277819,2.946,232,233,0.995708155
Signal Processing,0.554988312,1.776,2114,641,3.297971919
Speech Communication ,0.540711462,2.13,757,92,8.22826087
Sci. Comput. Program,1.2962755,3.339,233,63,3.698412698
Inf. Process. Lett.,0.45323,1.13,954,401,2.379052369
