DCP,Jname,RIP,SNIP
0,Agenda,0,nan
0,Ager,0,nan
0,Modern Age,0,nan
0,Aging Health,0,nan
0,Aging Health,0,nan
0,Alcoholism,0,nan
0,Numerical Algorithms,0,nan
0,Alternatives,0,nan
0,American History,0,nan
0,Analysis and Applications,0,nan
0,Asymptotic Analysis,0,nan
0,Bayesian Analysis,0,nan
0,Decision Analysis,0,nan
0,Engineering Analysis,0,nan
0,Functional Analysis and its Applications,0,nan
0,Geographical Analysis,0,nan
0,Group Analysis,0,nan
0,Intelligent Data Analysis,0,nan
0,Linguistic Analysis,0,nan
0,Medical Image Analysis,0,nan
0,Music Analysis,0,nan
0,Organizational Analysis,0,nan
0,Pattern Recognition and Image Analysis,0,nan
0,Risk Analysis,0,nan
0,Sequential Analysis,0,nan
0,Animal Behaviour,0,nan
0,Animal Cognition,0,nan
0,Animal Research,0,nan
0,Animals,0,nan
0,Computational and Applied Mathematics,0,nan
0,Discrete Applied Mathematics,0,nan
0,Aquaculture,0,nan
0,Architectural Design,0,nan
0,Architectural History,0,nan
0,IT Architect,0,nan
0,Coronary Artery Disease,0,nan
0,Applied Artificial Intelligence,0,nan
0,Artificial Intelligence and Law,0,nan
0,Artificial Intelligence in Engineering,0,nan
0,Computers and Artificial Intelligence,0,nan
0,Engineering Applications of Artificial Intelligence,0,nan
0,Foundations of Artificial Intelligence,0,nan
0,Assembly Automation,0,nan
0,Educational Assessment,0,nan
0,Health Technology Assessment,0,nan
0,Psychological Assessment,0,nan
0,Animal Behaviour,0,nan
0,Biochemistry,0,nan
0,Developmental Biology,0,nan
0,Evolutionary Biology,0,nan
0,Experimental Biology,0,nan
0,Genome Biology,0,nan
0,Integrative Biology,0,nan
0,Molecular Biology,0,nan
0,Systems Biology,0,nan
0,Cancer Biomarkers,0,nan
0,Blood Pressure,0,nan
0,Blood Vessels,0,nan
0,Brain Connectivity,0,nan
0,Brain Injury,0,nan
0,Brain Stimulation,0,nan
0,Human Brain Mapping,0,nan
0,Metabolic Brain Disease,0,nan
0,Breast Cancer,0,nan
0,Breast Cancer Research,0,nan
0,Breast Cancer Research,0,nan
0,Structural Design of Tall Buildings,0,nan
0,Breast Cancer,0,nan
0,Breast Cancer Research,0,nan
0,Cancer Biomarkers,0,nan
0,Cancer Cell,0,nan
0,Cancer Clinical Trials,0,nan
0,Cancer Imaging,0,nan
0,Cancer Research,0,nan
0,Lung Cancer,0,nan
0,Skin Cancer,0,nan
0,Breast Cancer Research,0,nan
0,Cancer Cell,0,nan
0,Cell Differentiation,0,nan
0,Cell Division,0,nan
0,Cell Motility,0,nan
0,Fuel Cell,0,nan
0,Molecular Cell,0,nan
0,Plant Cell,0,nan
0,Solar Cells,0,nan
0,Chemical Engineering,0,nan
0,Analytical Chemistry,0,nan
0,Chemistry,0,nan
0,Transition Metal Chemistry,0,nan
0,Analytical Chemistry,0,nan
0,Transition Metal Chemistry,0,nan
0,Exceptional Children,0,nan
0,Young Children,0,nan
0,Civil Engineering Systems,0,nan
0,Cancer Clinical Trials,0,nan
0,Animal Cognition,0,nan
0,Social Cognition,0,nan
0,Visual Cognition,0,nan
0,Communication Research,0,nan
0,Communication Theory,0,nan
0,Communications,0,nan
0,Computer Communications,0,nan
0,Data Communications,0,nan
0,Electrical Communication,0,nan
0,Health Communication,0,nan
0,Political Communication,0,nan
0,Satellite Communications,0,nan
0,Science Communication,0,nan
0,Space Communications,0,nan
0,Speech Communication,0,nan
0,Technical Communication,0,nan
0,Vehicular Communications,0,nan
0,Visual Communication,0,nan
0,Written Communication,0,nan
0,Computer Communications,0,nan
0,Data Communications,0,nan
0,Satellite Communications,0,nan
0,Space Communications,0,nan
0,Vehicular Communications,0,nan
0,Computational Complexity,0,nan
0,Computer Aided Geometric Design,0,nan
0,Computer Assisted Language Learning,0,nan
0,Computer Communications,0,nan
0,Computer Integrated Manufacturing Systems,0,nan
0,Computer Languages,0,nan
0,Computer Networks,0,nan
0,Computer Science Education,0,nan
0,Computer Software,0,nan
0,Computer Supported Cooperative Work,0,nan
0,Computer Vision and Image Understanding,0,nan
0,Computer-Aided Engineering,0,nan
0,Computerized Tomography,0,nan
0,Computers and Artificial Intelligence,0,nan
0,Computers and Composition,0,nan
0,Computers and Industrial Engineering,0,nan
0,Computers in Industry,0,nan
0,Computers in Libraries,0,nan
0,Computers in the Schools,0,nan
0,Human-Computer Interaction,0,nan
0,Interacting with Computers,0,nan
0,Theoretical Computer Science,0,nan
0,Visual Computer,0,nan
0,Corporate Governance,0,nan
0,Corporate Governance,0,nan
0,Cerebral Cortex,0,nan
0,Art Criticism,0,nan
0,Liquid Crystals,0,nan
0,Distributed and Parallel Databases,0,nan
0,Child Development,0,nan
0,Cognitive Development,0,nan
0,Developmental Biology,0,nan
0,Evolution and Development,0,nan
0,Human Development,0,nan
0,Professional Development in Education,0,nan
0,Sustainable Development,0,nan
0,Teacher Development,0,nan
0,World Development,0,nan
0,Child Development,0,nan
0,Cognitive Development,0,nan
0,Developmental Biology,0,nan
0,Evolution and Development,0,nan
0,Human Development,0,nan
0,Professional Development in Education,0,nan
0,Sustainable Development,0,nan
0,Teacher Development,0,nan
0,World Development,0,nan
0,Diabetes Educator,0,nan
0,Dialogue,0,nan
0,Dialogue,0,nan
0,Differential Equations and Dynamical Systems,0,nan
0,Numerical Methods for Partial Differential Equations,0,nan
0,Data Mining and Knowledge Discovery,0,nan
0,Discrete Mathematics and Applications,0,nan
0,Mitochondrial DNA,0,nan
0,Drug Delivery System,0,nan
0,Differential Equations and Dynamical Systems,0,nan
0,Earthquake,0,nan
0,Landscape Ecology,0,nan
0,Microbial Ecology,0,nan
0,Agricultural Economics,0,nan
0,Agricultural Economics,0,nan
0,Business Economics,0,nan
0,Computational Economics,0,nan
0,Ecological Economics,0,nan
0,Experimental Economics,0,nan
0,Quantum Electronics,0,nan
0,Quantum Electronics,0,nan
0,Quantum Electronics,0,nan
0,Empirical Software Engineering,0,nan
0,Energy and Environment,0,nan
0,Energy Efficiency,0,nan
0,Energy Policy,0,nan
0,Energy Sources,0,nan
0,Energy Systems,0,nan
0,Independent Energy,0,nan
0,Renewable Energy,0,nan
0,Wind Energy,0,nan
0,Advanced Engineering Materials,0,nan
0,Aerospace Engineering,0,nan
0,Aerospace Engineering,0,nan
0,Artificial Intelligence in Engineering,0,nan
