src,dest,type
3251288,877246,0
3251288,877603,0
3612714,1150597,0
3612714,1229613,0
3612714,2979915,0
3251289,876629,0
3251289,877632,0
3251289,877658,0
3251289,2921094,0
2998015,2997772,1
2998015,2998197,0
2998016,2998091,0
2998016,2998438,0
2998016,2998113,0
2998016,2997743,0
2998017,2998172,0
2998017,2998197,0
2998017,2997739,0
2998017,2998080,0
3137383,876622,0
3137383,877641,0
3249258,2867398,0
3249259,744494,0
3249259,745263,0
3249259,1026126,0
3249250,2920904,1
3249252,943042,0
3249252,1027393,0
3249252,2920503,1
3249255,1039621,0
3249256,942537,0
3249256,2920806,0
3249256,2920812,0
3249257,873401,0
3249257,1158058,0
3249257,1272561,1
3249257,1284022,1
3249257,2859312,0
3249257,2859624,0
3249257,2859500,0
3249257,2859131,0
3454429,793302,0
3454429,796152,0
3454429,802479,0
3454428,796152,0
3454421,801220,1
3454420,802981,0
3454420,3063009,0
3454426,794734,0
3454425,802834,0
3454425,3063215,0
942693,940214,0
942693,941078,0
932030,929604,0
932030,1034087,0
1272647,873130,0
1272647,872948,0
1272643,872813,0
1272643,872729,0
1272643,873075,0
1272643,873348,0
939911,930122,1
939911,932033,0
939911,1026473,0
3386883,1287932,1
3386883,3103151,0
3386882,744627,0
3386882,746382,0
3386882,3103500,0
3386887,3104036,1
3386887,3104035,1
3386887,3155743,1
3386887,3155832,1
3386887,3265429,1
3084478,1158599,1
3084475,1158249,1
3084475,1158796,1
3084475,1158887,0
3084475,1284164,1
3084474,1158867,1
3084477,1284118,1
3067764,1271495,0
3067764,1271792,0
3067764,1271860,0
3067764,1272066,0
3067764,1272181,0
3067764,1272570,0
3067764,2859313,0
3067764,2859467,0
3067763,1271621,0
3067763,1271884,0
3067763,1271873,0
3067763,1271686,0
3067760,1271424,0
3067760,1272617,0
3067761,915743,0
3067761,1038394,0
3352633,1234157,0
3352633,1287842,0
3352633,1287821,0
3352633,1287999,0
3352633,1287986,0
3352633,1346383,0
3352633,2986883,0
3352633,3089930,0
2920749,872135,0
2920749,872315,0
2920749,872520,0
2920749,872995,0
2920749,873197,0
2920749,872993,0
2920749,1271458,0
2920749,1271426,0
2920749,1271452,0
2920749,1271623,0
2920749,1271890,1
2920749,1272127,0
2920749,1272354,0
2920749,1272411,0
2920749,1272260,0
2920749,1272129,0
2920749,1272834,0
2920748,918204,0
2920748,1272705,0
1234148,1287878,0
1234148,1287853,0
1234148,1287898,0
1234148,1287959,0
1234148,1287952,0
1234148,1287990,0
1234149,1287758,0
1234149,1287795,0
1234149,1287906,0
1234149,1287751,0
1234149,1288099,0
1234149,2998273,0
1234149,2998052,0
1234149,2997782,0
1234149,2997705,0
1234147,1287741,0
1234147,1287913,0
1234147,1287910,0
1234147,1288230,0
1234145,1288144,0
1234145,1288235,0
1234143,1288099,0
1234143,2998400,0
1234143,2997782,0
1234143,2998319,0
1234143,3103812,0
1234140,1288198,0
1234140,1346258,0
1234141,1287802,0
1042475,745467,0
1042475,834864,0
1042475,835431,1
1042472,835534,0
1042472,931696,0
1042479,1039660,0
1272074,2998246,0
3352659,1234124,0
3352659,1234294,0
3352659,1288184,0
3352658,1234127,0
3352658,1346409,0
3352658,3129809,0
3352657,1234211,0
3352657,1346381,0
3352657,2986650,0
3352657,2986741,0
3352656,1288162,0
3077999,872966,0
3077999,1039155,0
3077999,1226995,0
3077999,1280356,0
3352653,1234200,0
3352653,1288068,0
3352653,1288164,0
3352652,1287864,0
3352652,1287939,0
3352652,1287916,0
3352652,1288289,0
3352652,1288127,0
3352652,2986851,0
3352651,1234167,0
3352651,1287694,1
3352651,1346409,0
3352651,1346340,0
3352651,2986771,0
3352651,2986757,0
876723,1036377,1
876723,1036585,0
876723,1036645,0
3612711,2930143,0
3612711,3083943,0
3612711,3083913,0
3612711,3360654,0
847391,848561,0
847391,852170,0
3352632,2986657,1
3352632,3089910,0
2851655,1226817,0
2851655,796332,0
2916665,796020,0
2916665,800198,0
2916664,801601,0
877095,745051,0
877094,1035420,1
3359971,873284,0
3359971,1272108,0
3359971,1288118,0
3359971,1288149,0
3359970,1271557,0
3359970,2859067,0
3359970,2859493,0
3359970,2859485,0
3359970,2920846,0
3359970,2967979,0
3359970,2968031,0
3359970,3068223,0
3359970,3355764,0
3359977,2980430,1
2986638,1287747,0
2986638,1287843,0
796687,795164,0
872112,794116,0
3156583,2989513,0
2879968,3355524,1
2879968,3355579,0
2879969,1180892,0
2879969,1181085,0
2879962,3354518,0
2879961,3354434,1
2879966,3247159,0
2879966,3354871,0
2879964,3354554,0
2879965,3355790,0
796685,1036674,0
3612713,1229687,0
3612713,2930167,0
3156585,793249,0
3156585,2965538,0
796682,793416,1
1181502,3355895,0
1181501,2879621,0
796683,796179,1
1181500,2879642,0
1181506,3355324,0
1181506,3355844,0
1150791,3249917,1
1150794,3310122,0
1150798,1151203,0
1150799,1150467,0
1150799,3310034,0
1150799,3310015,0
796680,1036534,0
802879,793387,0
802879,1033996,0
3103307,2997952,0
3103307,2998104,0
3103307,2998252,0
3103307,2998179,0
3103307,2998133,0
3103307,2998178,0
3103307,2998445,0
3103307,2997944,0
802873,802812,0
802873,802704,0
802872,793256,1
802875,793249,0
802874,795796,1
801783,801720,0
800430,1036757,0
800434,793494,0
800434,795456,0
800434,801424,0
800434,805498,0
800434,805454,0
935211,850767,0
935211,851787,0
935212,931166,0
935212,934481,1
935212,934947,0
1180835,3354894,1
1180835,3355763,1
1180836,3356014,0
1180836,3355771,0
1180833,3247300,0
2979453,1143173,0
2866904,1151676,0
2866904,1271346,0
2972400,942819,1
2972400,943008,0
2972400,1276416,0
2972400,2862284,0
2972400,2862322,0
2979459,1228282,0
2979458,1143173,1
2979458,1228171,0
2979458,1228250,0
2851861,793718,0
2986636,1234128,0
2986636,1234233,0
2986636,1234216,0
2986636,1288019,0
2986636,1287817,0
2986636,1288250,0
2986636,2998038,0
2986636,2998179,0
2986636,2998186,0
2986636,2997705,0
2986636,2998355,0
2986636,2997944,0
2986636,3103841,0
2986636,3103744,0
3077137,1027331,0
3077131,1026175,1
3077139,834919,0
3077139,917764,0
3266226,872207,0
3266226,872795,0
3266226,872708,0
3266226,1272077,0
3266226,2859166,0
3266226,2859506,0
3246426,1280505,0
3246426,2975658,0
3266224,1158041,1
3266224,1158856,1
3266225,2921062,0
3266220,1180807,1
3266220,1181107,0
3266220,1181726,1
3266220,1229670,1
3266220,2878784,0
3266220,2988996,0
3266220,2990186,1
3266220,2989448,0
3266220,2989697,0
3266220,2990150,1
3266220,2989570,1
3266220,3083878,1
3266220,3130549,1
3246427,1056988,0
917329,917438,1
917329,1026743,1
917325,1025845,1
2879184,2879619,0
2879180,2879670,1
2879180,3247227,0
2879180,3247331,0
2879180,3354942,0
2879180,3355050,0
2879182,3354403,1
3134248,1150077,0
3134248,1150118,0
3134248,1343971,0
3134248,2859187,0
3134248,2979907,0
3134248,1229693,0
3134248,2930175,0
3258114,918119,0
3258114,1158056,0
3258114,1158924,0
3258114,2874662,0
3258114,3084519,0
3354313,1181343,0
3354313,1276141,0
3246896,744270,0
3246896,1227259,0
3246895,1050489,0
3246895,1050579,0
3246895,1341281,0
1280104,1151063,0
1280107,1026224,1
1280107,1027745,0
1280106,1025948,1
1280103,873285,0
1280103,873349,0
1280103,917783,0
1280103,917978,0
1280103,917820,0
1280103,917906,0
1280103,943030,0
1280103,1027606,0
1280103,1027635,0
1280103,1042659,0
1280103,1042838,0
3258111,1026558,0
849095,853467,0
849095,854642,0
849095,854435,0
1272644,942119,1
3647493,1333524,0
744747,745213,0
744747,745902,0
744748,745176,1
744748,745712,0
744748,745999,0
794886,793184,0
794886,793494,0
794886,793605,0
3617445,803018,0
3617445,3133785,1
794882,1036614,0
794880,795101,0
1272649,796123,0
1272648,872820,0
1272648,873182,0
1272648,872999,1
3320149,835371,0
3320149,1042466,0
3320149,1280365,0
796651,802580,1
796651,930442,1
796655,793499,0
796656,1036412,0
796656,1036655,0
796656,1036516,0
849268,848005,0
849268,853828,0
849268,853944,0
849262,850798,0
849262,852906,0
849262,852920,0
849262,854720,0
849262,854474,0
871425,871474,0
871425,871377,0
871425,871454,0
871425,871376,0
871425,871363,0
3355857,1181157,0
3355857,2878810,1
3355850,2879969,1
3128824,1143301,1
3128824,1343906,1
803252,934596,0
803257,793414,0
803257,795171,0
803254,793244,0
803255,793351,0
803255,802702,0
803258,796239,0
803258,796240,0
3084470,1158610,1
2965534,1267900,0
2965533,942545,0
2965533,943190,0
2920836,1272651,0
2920836,2997952,0
2920836,2997859,0
2920836,2997894,0
2920836,2998133,0
2920836,2997868,0
2920836,2997911,0
2920836,3103404,0
2920836,3103395,0
2920830,873350,0
2920830,1271513,0
2920830,1272153,0
2920830,1272371,0
2920832,1040439,0
2920832,1226970,0
1026616,1027239,0
1026612,1026825,0
1026612,1026614,1
3103118,3103734,0
3103118,3103764,0
3103118,3103779,1
835203,745467,0
3356270,3356258,1
3356273,1337052,0
3356273,3131451,0
3356273,3131441,0
3356273,3131034,0
3356273,3131187,0
3356273,3131572,0
3356273,3131309,0
3356273,3131068,0
3356273,3131173,0
3356273,3131450,0
3356273,3131127,0
3356273,3131556,1
3356273,3131159,0
3356273,3131064,0
3356273,3356227,0
3356273,3356344,0
3356273,3356541,0
3356273,3356535,0
3459617,942552,0
3459617,3071350,0
3459617,3253152,0
3459617,3253080,0
3459616,877420,0
3459616,943039,0
3459616,2862384,0
3459616,2923921,0
3459616,3071365,0
3459616,3253053,0
3459616,3253129,0
3459613,3139143,0
3459613,3253099,0
3459612,942733,0
3459612,942864,0
3459612,1276519,0
3459612,2862315,0
3459612,2923903,0
3459612,2923926,0
3459611,940558,0
3459611,942930,0
3459611,942976,0
3459611,943090,0
3459611,1271924,0
3459611,1272766,0
3459611,2859038,0
3459611,2859584,0
3459611,2862421,0
3459611,3068248,0
3459611,3071286,0
3459611,3253113,0
3459610,942377,0
3459610,1272391,0
3459619,3253062,0
3459619,3253116,0
3459619,3253099,0
3459619,3367490,0
3459619,3367406,0
2921135,1272878,0
834847,834845,1
834847,835485,0
834846,835064,1
877703,876936,1
877703,877100,0
877701,877185,0
877701,877626,0
877701,877636,0
877701,877639,0
877701,877642,0
877700,877572,0
877700,877556,0
877700,877672,0
877700,877687,0
877700,877682,0
1276575,744394,0
1276575,745837,0
1276575,746315,0
